ID,TYPE,Na23,Fe57,Zn66,Rb85,Mn55,K39,Se82,P31,Cu65,Mg25,Sr88,As75,Cd114,Ca43,Co59,Mo98,S34,Li7
5921,Feuille,1000.1033,136.88568,100.52887,443.46838,234.37155,75526.49,77.42318,18132.57,7.563509,4713.8306,65.03694,1.0123879,2.6460507,39933.246,3.1235173,5.34017,12894.434,13.173971
5950,Feuille,1079.2878,142.34119,96.45644,408.10822,219.6643,68927.305,70.713615,15193.904,8.068911,5073.783,66.39551,0.9254205,2.1739283,44218.227,1.3756019,3.8615494,12421.108,15.456301
5984,Feuille,1265.2233,140.53702,95.78072,359.20007,224.53398,65541.46,66.91707,14337.544,7.7626505,5937.6675,70.7306,0.98651844,2.8080523,43699.957,2.8287787,3.9138057,11749.974,14.804183
5993,Feuille,1303.401,141.45563,92.766914,439.84515,236.0065,76480.93,71.59728,15455.369,7.39552,5293.079,70.4967,1.0497015,2.5544257,42946.59,2.2957551,5.34826,14411.697,14.269671
6008,Feuille,2612.8843,140.77711,91.94304,366.6408,240.03596,63178.285,69.8539,16072.425,8.124688,5534.623,66.305756,1.0050175,2.46386,42734.695,2.260249,3.7454188,12728.2705,14.773682
6009,Feuille,1059.5096,142.37862,84.35363,347.6415,217.08739,51872.844,68.63305,18277.615,7.5765915,4449.2173,75.79634,0.9839982,2.4548817,45659.746,3.388244,3.7058494,11118.032,15.490652
6011,Feuille,1019.5382,139.4975,88.55033,359.05933,209.81966,63123.027,81.29199,16943.7,7.6922417,4967.7812,70.33667,0.921557,2.2613316,45089.742,3.4294071,3.6170468,13645.124,14.138692
6012,Feuille,806.14343,143.29134,84.79733,348.29285,212.1463,61353.07,79.51872,17736.84,7.414287,5320.2793,69.10035,0.919955,2.0343037,44556.996,1.7475504,2.3998425,13681.008,14.238012
6013,Feuille,1010.91284,135.75502,92.73186,459.84412,230.4178,63617.65,90.435684,18619.516,7.2174134,4812.7905,65.66225,0.93698686,2.5147724,40098.465,3.5887382,1.0805955,14108.771,13.864775
6016,Feuille,784.40735,138.02448,94.24322,548.28204,224.92,80636.16,84.68712,17596.094,8.108026,4534.765,61.47025,0.90552723,2.2657764,37192.2,2.2798603,5.3416777,14338.623,13.315365
6019,Feuille,741.9498,150.35066,109.1956,365.4788,226.07353,66366.586,88.357735,14255.709,8.4054575,5335.3076,62.059093,0.8994507,2.4304495,41075.504,2.1320558,3.4134665,13867.671,14.508471
6020,Feuille,1051.8328,135.72832,90.19649,438.90637,225.36736,70186.99,65.32212,18564.725,7.7545133,5470.0903,69.681046,0.9842262,2.2671041,41538.215,3.127989,8.3562155,11425.41,14.235898
6021,Feuille,938.54565,141.0208,94.463646,375.61932,225.0159,68507.92,67.45604,14824.911,7.1362596,5758.306,68.265594,1.035887,2.3221693,43736.68,2.2235887,16.043522,11942.383,15.23161
6023,Feuille,1145.7511,142.25256,89.8513,390.504,231.6535,72172.56,54.324203,17856.152,6.74957,5318.0327,69.04668,1.0665798,2.375491,42966.09,3.0740993,2.2030659,10635.55,13.673244
6024,Feuille,941.1148,142.99553,88.464134,408.3125,231.2081,74051.83,58.074497,17229.605,7.196464,4747.8105,66.929214,1.0377189,2.648755,40709.676,3.4531224,1.8777312,11944.422,13.633467
6025,Feuille,1233.3096,132.91339,96.13877,342.27435,240.25458,62563.516,73.98943,18423.398,8.841261,5153.5117,65.41035,0.98931986,2.658569,39294.734,2.5454304,14.755624,12483.545,14.608463
6030,Feuille,1406.8258,143.49849,82.7823,396.86206,218.13696,76896.62,63.46089,17835.42,7.8213825,5118.813,61.72553,0.9432239,2.156599,37770.88,2.645577,9.813776,13110.88,13.906141
6034,Feuille,780.806,141.05345,90.69725,381.05447,237.77081,65228.258,76.630226,15190.911,8.353559,4629.505,64.91163,0.9958208,2.8286357,41154.637,2.333961,14.521764,11912.073,14.881669
6035,Feuille,1278.1102,143.71725,101.60168,359.58237,235.93915,71704.54,66.3436,16246.872,7.7498393,4806.5396,63.943485,1.0101115,2.6401818,41548.3,2.1164005,3.7281146,13259.043,13.926983
6036,Feuille,937.4273,142.38391,90.478355,421.14435,223.78358,74727.29,62.04008,14781.975,7.9013457,4964.0205,66.16403,1.2740726,2.512166,39857.293,4.16481,4.4498906,11738.098,14.555761
6038,Feuille,1007.70135,141.4402,94.41044,436.36258,227.21518,80572.48,72.92591,16580.084,7.862063,5191.41,62.54006,0.9910799,2.202532,40476.715,2.4296029,4.572713,13026.82,14.058933
6039,Feuille,861.6499,140.91182,96.19003,385.00937,221.96452,67913.29,75.845985,16782.371,8.262909,4606.4688,66.947464,1.0115725,2.7649477,41250.715,2.463417,3.8126757,13587.386,14.595302
6040,Feuille,1020.075,144.15816,84.62478,386.6617,229.95802,70912.4,54.67185,17553.705,6.6195364,4843.5684,68.71575,0.98523396,2.4221106,41680.625,3.7330263,1.6689962,11165.799,14.600306
6041,Feuille,841.14764,138.70169,93.848335,468.56015,217.30603,81945.48,61.870537,18607.22,9.014672,5222.0894,64.65378,1.0758183,2.1800613,42037.254,2.0649128,3.7644293,11546.877,14.088131
6042,Feuille,970.9678,141.71452,91.26497,391.45627,233.21623,79166.29,70.788795,15619.204,7.2488437,4635.425,66.527374,1.1473552,2.571591,40885.867,2.105672,3.0836887,13640.638,14.209455
6043,Feuille,787.3183,136.80296,103.15233,392.41135,228.9802,70480.7,82.614395,18133.904,7.1312556,5390.9546,65.957825,0.9608018,2.199616,43024.71,2.096797,3.5259852,13162.303,13.479555
6046,Feuille,701.18225,136.09377,92.01128,370.96185,228.09483,63464.508,83.0032,16954.287,6.914673,4724.517,63.40683,1.0491619,2.501127,39024.79,2.5913472,4.0342927,14328.249,13.449761
6064,Feuille,725.3198,139.63475,98.74593,376.84744,221.74977,67484.95,92.05434,15918.441,8.644054,4676.672,66.3513,0.98399544,2.3858397,41768.445,2.8632877,2.3934844,15549.298,13.933449
6069,Feuille,845.0725,138.29416,89.77005,370.9141,216.82803,66132.62,88.28759,16893.951,7.768064,4663.4106,64.4947,1.1108481,2.4090834,39823.223,4.7191668,1.085269,14440.472,14.360112
6070,Feuille,872.5056,148.02736,80.99106,410.99664,223.72917,68232.35,63.54378,16532.92,7.506374,4747.8027,70.79532,1.0730925,2.4854052,41759.652,4.010171,1.3030262,11480.941,14.322208
6071,Feuille,929.8502,140.5233,84.03046,395.2847,207.11134,68277.664,71.81418,16448.66,6.47538,5074.7686,70.4222,0.8277433,2.1809542,43363.258,1.8340261,2.1514223,12102.166,14.372773
6073,Feuille,750.88184,140.9101,88.9578,350.4274,225.3432,65218.74,65.39139,14371.992,7.7254796,4908.8096,72.28395,0.9768467,2.4940863,42001.457,2.9431012,7.3694506,11930.946,14.969719
6074,Feuille,920.55304,137.28117,92.59909,415.87427,223.45259,66213.66,86.29089,17204.23,8.336077,4523.275,63.741013,0.9307218,2.2289317,39958.16,2.914846,6.901981,14362.248,14.385481
6076,Feuille,1030.9202,139.64693,91.583405,374.07263,238.20451,67670.43,63.373123,16462.502,7.5682874,5211.19,71.33354,0.93690586,2.255573,42647.2,2.685051,8.522257,10980.562,14.38708
6085,Feuille,1245.2659,142.73465,86.50083,382.5979,225.83531,68239.07,62.681374,15863.184,6.6263657,4792.673,75.92919,0.98986787,2.6213546,42062.348,2.8041353,3.8656063,12085.489,14.011012
6086,Feuille,827.72406,137.80865,84.45814,358.46683,220.4069,63166.668,70.84968,17588.148,7.7134876,4534.017,70.85719,0.8777493,2.6044085,41180.39,2.9165657,4.1157637,12814.907,13.600692
6088,Feuille,679.4852,136.4643,87.0511,405.59985,225.66626,66245.19,89.495514,13401.484,7.844142,4852.2114,65.01422,0.90824735,2.3757343,41131.832,3.0295136,2.4373252,13443.073,14.404337
6090,Feuille,1592.63,136.17628,92.505844,464.45425,279.0023,76486.055,65.31903,17452.512,7.7461524,4251.223,62.17563,1.071674,2.451138,37283.418,3.1935048,5.431036,12360.457,13.942509
6092,Feuille,1034.2585,146.36682,94.70284,364.80673,227.9267,68141.02,62.468708,15158.3125,8.40719,4928.5454,73.24841,0.9048131,2.5081027,44828.227,3.1354024,4.8278365,13068.166,15.159382
6094,Feuille,987.15765,138.74326,91.490715,440.8673,216.4877,76403.07,76.471664,14948.463,9.257527,4592.1953,61.783176,0.9470574,2.3876014,37727.297,2.922236,3.8437958,12435.492,15.065112
6097,Feuille,1002.7583,140.79767,91.60452,351.01974,221.7403,67118.2,60.001846,16886.516,8.222423,5107.4707,66.493774,0.90951777,2.2101407,43603.598,2.0610406,4.173925,9755.1455,15.271761
6098,Feuille,1197.7228,139.53548,89.81979,400.98053,225.53735,76773.086,66.83031,15427.371,8.2235775,5101.151,67.05362,1.0514771,2.3904915,43171.723,2.2909918,2.8992221,11856.358,14.761616
6099,Feuille,957.7937,140.3925,97.37825,562.4296,234.50246,83715.4,61.616634,15767.578,7.532512,5229.87,65.54773,0.87170756,2.5279596,40328.098,3.256861,9.350967,10684.293,14.302465
6100,Feuille,1215.8202,139.64142,86.72858,448.56012,230.91093,80350.99,59.609993,15391.717,7.8315535,4749.591,69.63957,0.9056216,2.543849,41609.312,2.4769757,0.74298894,12425.018,14.095642
